tech,id,rho,angle,w,a,we,ae,mt,error
eye,4.0,0.3,171.81818181818178,51.03684165738741,765.5526248608082,-2.44682751937,751.6612228806874,1.0065021514892578,0
eye,4.0,0.3,335.45454545454544,51.03684165738741,765.5526248608082,0.764464877513,763.228974971934,1.2801480293273926,0
eye,4.0,0.3,139.0909090909091,51.036841657387185,765.5526248608082,-5.33991630601,762.9934271730049,0.8353259563446045,0
eye,4.0,0.3,302.7272727272727,51.03684165738741,765.5526248608082,13.3681030577,773.8862500227209,0.9664468765258789,0
eye,4.0,0.3,106.36363636363633,51.036841657387185,765.5526248608081,-14.8042145783,767.2165095135383,0.8544549942016602,0
eye,4.0,0.3,270.0,51.036841657387185,765.5526248608082,-14.7763124304,738.0,0.8340730667114258,0
eye,4.0,0.3,73.63636363636364,51.03684165738696,765.5526248608081,-5.77568781759,748.1249225408021,0.746312141418457,0
eye,4.0,0.3,237.27272727272725,51.03684165738741,765.5526248608081,15.8756911984,779.1109043573902,0.9549338817596436,0
eye,4.0,0.3,40.90909090909091,51.03684165738741,765.5526248608082,8.87807636195,787.3773577757329,0.8475549221038818,0
eye,4.0,0.3,204.54545454545453,51.03684165738741,765.5526248608081,-5.8958127218,770.7424368428226,0.9393210411071777,0
eye,6.0,0.1,171.81818181818178,12.151628966044427,765.5526248608082,-3.43664896125,762.9698208301656,1.2209680080413818,0
eye,6.0,0.1,335.45454545454544,12.151628966044427,765.5526248608082,1.49508776792,763.0499658669845,1.533592939376831,0
eye,6.0,0.1,139.0909090909091,12.151628966044882,765.5526248608082,-1.86383495546,764.9084816833491,1.300894021987915,0
eye,6.0,0.1,302.7272727272727,12.151628966044882,765.5526248608082,2.61125061964,766.7344398181046,1.5687520503997803,0
eye,6.0,0.1,106.36363636363633,12.151628966044427,765.5526248608081,-3.40459419805,764.6729051001973,1.2676150798797607,0
eye,6.0,0.1,270.0,12.151628966044427,765.5526248608082,2.2236875696,766.0,1.0897209644317627,0
eye,6.0,0.1,73.63636363636364,12.151628966044882,765.5526248608081,-2.72176024123,765.7998353275631,1.295341968536377,0
eye,6.0,0.1,237.27272727272725,12.151628966044882,765.5526248608081,1.33435303823,763.4300103000757,1.6877720355987549,1
eye,6.0,0.1,40.90909090909091,12.151628966044427,765.5526248608082,-1.80330651941,764.7067040025312,1.5802388191223145,1
eye,6.0,0.1,204.54545454545453,12.151628966044427,765.5526248608081,-1.26885077568,762.1403338716301,1.5356810092926025,0
eye,6.0,0.1,171.81818181818178,12.151628966044427,765.5526248608082,-1.45700607749,771.7358989688207,1.3698551654815674,0
eye,6.0,0.1,335.45454545454544,12.151628966044427,765.5526248608082,0.585455772563,763.9595978623389,1.3522868156433105,0
eye,6.0,0.1,139.0909090909091,12.151628966044882,765.5526248608082,-3.07266758294,762.9438994815132,1.5334010124206543,0
eye,6.0,0.1,302.7272727272727,12.151628966044882,765.5526248608082,2.55066600635,764.6907354237712,1.5510730743408203,0
eye,6.0,0.1,106.36363636363633,12.151628966044427,765.5526248608081,-0.754705883387,766.2490051381557,1.1676390171051025,0
eye,6.0,0.1,270.0,12.151628966044427,765.5526248608082,-0.776312430404,764.0,1.2677700519561768,0
eye,6.0,0.1,73.63636363636364,12.151628966044882,765.5526248608081,1.16935360389,765.9672725813142,1.2674448490142822,0
eye,6.0,0.1,237.27272727272725,12.151628966044882,765.5526248608081,3.49691630805,771.0595663577496,1.3343381881713867,0
eye,6.0,0.1,40.90909090909091,12.151628966044427,765.5526248608082,0.0108591505214,769.5438679698836,1.1674518585205078,0
eye,6.0,0.1,204.54545454545453,12.151628966044427,765.5526248608081,-2.33608670973,764.3750128753409,1.3677399158477783,0
eye,6.0,0.1,171.81818181818178,12.151628966044427,765.5526248608082,1.22782857161,772.2987758958817,1.3378190994262695,0
eye,6.0,0.1,335.45454545454544,12.151628966044427,765.5526248608082,-1.23380821815,764.0383998316897,1.300199031829834,0
eye,6.0,0.1,139.0909090909091,12.151628966044882,765.5526248608082,2.11669059713,766.6217585128755,1.5174648761749268,0
eye,6.0,0.1,302.7272727272727,12.151628966044882,765.5526248608082,0.868158940683,767.0933267956736,1.9684090614318848,1
eye,6.0,0.1,106.36363636363633,12.151628966044427,765.5526248608081,-0.358678023456,764.7260470508583,1.3408679962158203,0
eye,6.0,0.1,270.0,12.151628966044427,765.5526248608082,2.2236875696,768.0,1.9442849159240723,1
eye,6.0,0.1,73.63636363636364,12.151628966044882,765.5526248608081,-3.68125321484,763.9951446834242,1.5012872219085693,0
eye,6.0,0.1,237.27272727272725,12.151628966044882,765.5526248608081,2.41563467314,763.6700384021557,1.5847687721252441,0
eye,6.0,0.1,40.90909090909091,12.151628966044427,765.5526248608082,-1.14844578547,766.8730638851849,1.5342881679534912,1
eye,6.0,0.1,204.54545454545453,12.151628966044427,765.5526248608081,-0.853435762676,762.9711638976338,1.535632848739624,0
eye,3.0,0.6,171.81818181818178,109.36466069440121,765.5526248608082,-23.5113250494,762.8530356960205,0.7061471939086914,0
eye,3.0,0.6,335.45454545454544,109.36466069440166,765.5526248608082,-21.6251354921,722.9045457695386,0.767570972442627,0
eye,3.0,0.6,139.0909090909091,109.36466069440144,765.5526248608082,5.387327352,745.2076316012209,0.6296839714050293,0
eye,3.0,0.6,302.7272727272727,109.36466069440166,765.5526248608082,-28.8740170727,752.7383631775548,0.7338669300079346,0
eye,3.0,0.6,106.36363636363633,109.36466069440098,765.5526248608081,-36.8033882173,698.7125033305138,0.7219889163970947,0
eye,3.0,0.6,270.0,109.36466069440098,765.5526248608082,36.2236875696,774.0,0.6665370464324951,0
eye,3.0,0.6,73.63636363636364,109.36466069440121,765.5526248608081,-15.7506226101,785.1120015047112,0.8691720962524414,0
eye,3.0,0.6,237.27272727272725,109.36466069440144,765.5526248608081,-14.1111336192,730.9823198483308,0.7336218357086182,0
eye,3.0,0.6,40.90909090909091,109.36466069440166,765.5526248608082,-35.0526208761,724.4575327106419,0.6820981502532959,0
eye,3.0,0.6,204.54545454545453,109.36466069440121,765.5526248608081,-15.9951531107,718.578205230212,0.6522300243377686,0
eye,5.0,0.2,171.81818181818178,24.69524596325209,765.5526248608082,-1.74163575404,767.4919835247504,1.0197839736938477,0
eye,5.0,0.2,335.45454545454544,24.695245963251637,765.5526248608082,-5.20894924322,757.334362820557,1.1340179443359375,0
eye,5.0,0.2,139.0909090909091,24.695245963251864,765.5526248608082,1.61224639508,761.885483385932,1.018606185913086,0
eye,5.0,0.2,302.7272727272727,24.69524596325209,765.5526248608082,5.61506742229,773.3432988541632,1.0508170127868652,0
eye,5.0,0.2,106.36363636363633,24.695245963251637,765.5526248608081,0.65395690082,770.8178794000478,0.8993358612060547,0
eye,5.0,0.2,270.0,24.695245963251864,765.5526248608082,4.2236875696,769.0,1.1010551452636719,0
eye,5.0,0.2,73.63636363636364,24.69524596325209,765.5526248608081,2.86776034671,772.4631441922035,1.0840728282928467,0
eye,5.0,0.2,237.27272727272725,24.695245963251864,765.5526248608081,1.33435303823,767.1562217600715,1.3687610626220703,0
eye,5.0,0.2,40.90909090909091,24.695245963251637,765.5526248608082,2.07633019277,768.5863407147115,0.9995450973510742,0
eye,5.0,0.2,204.54545454545453,24.695245963251864,765.5526248608081,6.26601626146,774.7175778678918,1.1673588752746582,0
eye,4.0,0.3,171.81818181818178,51.03684165738741,765.5526248608082,-17.2941491476,753.3498536618707,0.9897031784057617,0
eye,4.0,0.3,335.45454545454544,51.03684165738741,765.5526248608082,4.20257858773,753.0226087518366,0.951225996017456,0
eye,4.0,0.3,139.0909090909091,51.036841657387185,765.5526248608082,-7.95935924179,757.6554859184596,0.8629708290100098,0
eye,4.0,0.3,302.7272727272727,51.03684165738741,765.5526248608082,9.88191969975,767.0350525334804,1.0342061519622803,0
eye,4.0,0.3,106.36363636363633,51.036841657387185,765.5526248608081,-19.0913562834,756.9438193606203,0.7240588665008545,0
eye,4.0,0.3,270.0,51.036841657387185,765.5526248608082,-11.7763124304,738.0,0.8646371364593506,0
