tech,id,rho,angle,w,a,we,ae,mt,error
mouse,3.0,0.6,171.81818181818178,109.36466069440121,765.5526248608082,4.33322530949,789.1257404078576,1.102858066558838,0
mouse,3.0,0.6,335.45454545454544,109.36466069440166,765.5526248608082,-4.02010100731,762.3981449459303,1.4223129749298096,0
mouse,3.0,0.6,139.0909090909091,109.36466069440144,765.5526248608082,-2.31875146602,763.8977598218333,1.0027110576629639,0
mouse,3.0,0.6,302.7272727272727,109.36466069440166,765.5526248608082,0.567546225307,768.8387288257339,0.9843130111694336,0
mouse,3.0,0.6,106.36363636363633,109.36466069440098,765.5526248608081,13.7971145728,778.2040792303542,1.0784809589385986,0
mouse,3.0,0.6,270.0,109.36466069440098,765.5526248608082,16.2236875696,790.0,0.9049639701843262,0
mouse,3.0,0.6,73.63636363636364,109.36466069440121,765.5526248608081,21.9273017124,802.4731361275578,1.0681259632110596,0
mouse,3.0,0.6,237.27272727272725,109.36466069440144,765.5526248608081,-12.1839777493,781.212883013917,0.8183121681213379,0
mouse,3.0,0.6,40.90909090909091,109.36466069440166,765.5526248608082,-26.2385982711,726.0644203274812,0.7327349185943604,0
mouse,3.0,0.6,204.54545454545453,109.36466069440121,765.5526248608081,-5.5806048444,730.2818088679737,0.6503219604492188,0
mouse,6.0,0.1,171.81818181818178,12.151628966044427,765.5526248608082,0.380321967998,765.0853961261687,3.4726250171661377,1
mouse,6.0,0.1,335.45454545454544,12.151628966044427,765.5526248608082,2.32591779392,767.1039088614044,1.5358150005340576,0
mouse,6.0,0.1,139.0909090909091,12.151628966044882,765.5526248608082,-2.51869568941,765.5633424172945,1.267676830291748,0
mouse,6.0,0.1,302.7272727272727,12.151628966044882,765.5526248608082,4.23317307201,767.5151087376404,1.5175540447235107,0
mouse,6.0,0.1,106.36363636363633,12.151628966044427,765.5526248608081,-3.51888950114,765.4038074676314,1.3512909412384033,0
mouse,6.0,0.1,270.0,12.151628966044427,765.5526248608082,1.2236875696,764.0,1.635162115097046,0
mouse,6.0,0.1,73.63636363636364,12.151628966044882,765.5526248608081,2.12884657751,768.0005538316333,1.367790937423706,0
mouse,6.0,0.1,237.27272727272725,12.151628966044882,765.5526248608081,-1.49002027564,766.9138833068893,1.9561259746551514,0
mouse,6.0,0.1,40.90909090909091,12.151628966044427,765.5526248608082,2.17721903318,766.8235361936935,1.4689199924468994,0
mouse,6.0,0.1,204.54545454545453,12.151628966044427,765.5526248608081,-3.58233174874,765.3634468400461,1.2797470092773438,0
mouse,6.0,0.1,171.81818181818178,12.151628966044427,765.5526248608082,-0.46718463561,766.5021620828694,1.2415359020233154,0
mouse,6.0,0.1,335.45454545454544,12.151628966044427,765.5526248608082,3.23554978928,767.5193238744064,1.4033091068267822,0
mouse,6.0,0.1,139.0909090909091,12.151628966044882,765.5526248608082,-4.48327789124,764.3545097898128,1.395982027053833,0
mouse,6.0,0.1,302.7272727272727,12.151628966044882,765.5526248608082,1.16877165606,761.9269467231977,1.4339349269866943,0
mouse,6.0,0.1,106.36363636363633,12.151628966044427,765.5526248608081,1.16428006384,766.9267655549288,1.335252046585083,0
