tech,id,rho,angle,w,a,we,ae,mt,error
mouse,5,0.2,307.6391642,29.63429516,231.48717,40.20731395,378.7807725,0.907629013,0
mouse,5,0.2,35.83257757,29.63429516,243.7460346,48.69055696,386.9332025,1.017508984,0
mouse,5,0.2,339.1646475,29.63429516,254.4916024,48.44797909,366.2806594,1.534794092,2
mouse,5,0.2,6.832337773,29.63429516,260.6684492,27.011171,340.0474258,1.184973955,0
mouse,5,0.2,173.1676622,29.63429516,260.6684492,15.54448497,300.6740727,0.84604907,0
mouse,5,0.2,200.8353525,29.63429516,254.4916024,8.976667095,267.424997,1.072212934,0
mouse,5,0.2,144.1674224,29.63429516,243.7460346,27.25014263,254.1750576,1.113487005,0
mouse,5,0.2,232.3608358,29.63429516,231.48717,34.22322041,259.4031376,0.905152082,0
mouse,5,0.2,109.4100006,29.63429516,221.6713188,19.77532103,282.9383771,0.984530926,0
mouse,5,0.2,270,29.63429516,217.898996,4.050502003,320,1.050688982,0
mouse,6,0.1,307.6391642,14.58195476,231.48717,45.38804911,373.7812231,1.220371008,0
mouse,6,0.1,35.83257757,14.58195476,243.7460346,51.57337493,379.5018287,1.384787083,0
mouse,6,0.1,339.1646475,14.58195476,254.4916024,50.98690886,359.7800651,1.217771053,0
mouse,6,0.1,6.832337773,14.58195476,260.6684492,34.43731818,328.3705723,1.151254892,0
mouse,6,0.1,173.1676622,14.58195476,260.6684492,12.92268254,296.821443,1.067534924,0
mouse,6,0.1,200.8353525,14.58195476,254.4916024,12.97998207,273.16508,1.16785717,0
mouse,6,0.1,144.1674224,14.58195476,243.7460346,22.52055014,254.5794398,1.151187897,0
mouse,6,0.1,232.3608358,14.58195476,231.48717,29.29080022,251.9608419,1.355714083,0
mouse,6,0.1,109.4100006,14.58195476,221.6713188,22.65862764,279.5518568,1.046914816,0
mouse,6,0.1,270,14.58195476,217.898996,2.050502003,320,1.205587149,0
mouse,4,0.3,307.6391642,61.24420999,231.48717,46.74368059,370.9761052,0.906642914,0
mouse,4,0.3,35.83257757,61.24420999,243.7460346,53.95932562,372.5210795,0.91823101,0
mouse,4,0.3,339.1646475,61.24420999,254.4916024,60.77945077,350.7480345,0.767714024,0
mouse,4,0.3,6.832337773,61.24420999,260.6684492,29.74735174,321.621614,0.917111874,0
mouse,4,0.3,173.1676622,61.24420999,260.6684492,0.776565432,319.7313039,0.767753124,0
mouse,4,0.3,200.8353525,61.24420999,254.4916024,4.038745733,280.7743759,0.783546925,0
mouse,4,0.3,144.1674224,61.24420999,243.7460346,33.64547304,254.6256823,0.734709978,0
mouse,4,0.3,232.3608358,61.24420999,231.48717,29.17674356,260.5775833,0.81713295,0
mouse,4,0.3,109.4100006,61.24420999,221.6713188,15.33801084,270.1202101,0.867648125,0
mouse,4,0.3,270,61.24420999,217.898996,3.949497997,308,0.733727932,0
mouse,6,0.1,307.6391642,14.58195476,231.48717,43.01243192,377.7405851,1.123800039,0
mouse,6,0.1,35.83257757,14.58195476,243.7460346,53.55494349,379.2765163,1.380537033,1
