tech,id,rho,angle,w,a,we,ae,mt,error
mouse,4.0,0.3,171.81818181818178,51.03684165738741,765.5526248608082,7.03082481065,775.5592523241031,0.8728280067443848,0
mouse,4.0,0.3,335.45454545454544,51.03684165738741,765.5526248608082,5.78543667039,778.0982947750093,1.0019559860229492,0
mouse,4.0,0.3,139.0909090909091,51.036841657387185,765.5526248608082,10.429935915,779.2181959045886,0.8507201671600342,0
mouse,4.0,0.3,302.7272727272727,51.03684165738741,765.5526248608082,-4.59883384717,767.5733829998337,1.0867228507995605,0
mouse,4.0,0.3,106.36363636363633,51.036841657387185,765.5526248608081,-11.2028446918,749.9907665373702,1.15171217918396,0
mouse,4.0,0.3,270.0,51.036841657387185,765.5526248608082,-4.7763124304,745.0,1.1311609745025635,0
mouse,4.0,0.3,73.63636363636364,51.03684165738696,765.5526248608081,-20.3886616262,738.880890115696,0.9181869029998779,0
mouse,4.0,0.3,237.27272727272725,51.03684165738741,765.5526248608081,-2.39185842177,744.8012633511986,1.0504629611968994,0
mouse,4.0,0.3,40.90909090909091,51.03684165738741,765.5526248608082,5.55241154331,770.5013952250558,0.8678760528564453,0
mouse,4.0,0.3,204.54545454545453,51.03684165738741,765.5526248608081,5.17737516115,776.6944457973023,0.9341731071472168,0
mouse,6.0,0.1,171.81818181818178,12.151628966044427,765.5526248608082,-1.74163575404,763.24806808068,1.1870238780975342,0
mouse,6.0,0.1,335.45454545454544,12.151628966044427,765.5526248608082,3.15674781993,765.7000598836973,2.804270029067993,1
mouse,6.0,0.1,139.0909090909091,12.151628966044882,765.5526248608082,-2.31691800859,767.074841566003,1.668260097503662,0
mouse,6.0,0.1,302.7272727272727,12.151628966044882,765.5526248608082,4.53378578738,767.2144960222648,1.6502659320831299,0
mouse,6.0,0.1,106.36363636363633,12.151628966044427,765.5526248608081,-4.310945221,765.2895121645412,1.5182468891143799,0
mouse,6.0,0.1,270.0,12.151628966044427,765.5526248608082,2.2236875696,763.0,1.484724998474121,0
mouse,6.0,0.1,73.63636363636364,12.151628966044882,765.5526248608081,-3.90984382102,763.4848215204023,1.5850250720977783,0
mouse,6.0,0.1,237.27272727272725,12.151628966044882,765.5526248608081,0.793712220774,763.6094537888602,1.6226139068603516,0
mouse,6.0,0.1,40.90909090909091,12.151628966044427,765.5526248608082,-0.190918530297,765.5633424172944,1.33457612991333,0
mouse,6.0,0.1,204.54545454545453,12.151628966044427,765.5526248608081,1.14483733298,766.8675029533521,1.4305448532104492,0
mouse,3.0,0.6,171.81818181818178,109.36466069440121,765.5526248608082,4.50106985189,773.7283067046466,0.7426061630249023,0
mouse,3.0,0.6,335.45454545454544,109.36466069440166,765.5526248608082,-15.157504389,759.6692489598669,0.7147500514984131,0
mouse,3.0,0.6,139.0909090909091,109.36466069440144,765.5526248608082,-17.6318537191,730.3494458587235,0.8844108581542969,0
mouse,3.0,0.6,302.7272727272727,109.36466069440166,765.5526248608082,-9.46691155537,737.4117353956045,0.867393970489502,0
mouse,3.0,0.6,106.36363636363633,109.36466069440098,765.5526248608081,-29.9355229518,724.0313142991178,0.7699739933013916,0
mouse,3.0,0.6,270.0,109.36466069440098,765.5526248608082,-28.7763124304,705.0,0.7313289642333984,0
mouse,3.0,0.6,73.63636363636364,109.36466069440121,765.5526248608081,-15.2402994471,729.7351301901438,0.6515281200408936,0
mouse,3.0,0.6,237.27272727272725,109.36466069440144,765.5526248608081,-24.5650629908,719.507693455172,0.7689840793609619,0
mouse,3.0,0.6,40.90909090909091,109.36466069440166,765.5526248608082,-52.2844445544,695.73904888518,0.8011109828948975,0
mouse,3.0,0.6,204.54545454545453,109.36466069440121,765.5526248608081,-29.4888477979,682.1073047510386,0.7645108699798584,0
mouse,3.0,0.6,171.81818181818178,109.36466069440121,765.5526248608082,-15.4632035281,734.976573206985,0.7757480144500732,0
mouse,3.0,0.6,335.45454545454544,109.36466069440166,765.5526248608082,1.33748382922,749.5630898753682,1.3487448692321777,1
mouse,3.0,0.6,139.0909090909091,109.36466069440144,765.5526248608082,-33.4512336316,734.4290267942954,0.7340841293334961,0
mouse,3.0,0.6,302.7272727272727,109.36466069440166,765.5526248608082,-28.512819744,704.0668274999374,0.9346518516540527,0
mouse,3.0,0.6,106.36363636363633,109.36466069440098,765.5526248608081,-21.1857908861,716.0816493551284,0.8173120021820068,0
mouse,3.0,0.6,270.0,109.36466069440098,765.5526248608082,-19.7763124304,724.0,0.7002100944519043,0
mouse,3.0,0.6,73.63636363636364,109.36466069440121,765.5526248608081,-14.2888178753,733.4056648308505,0.7011380195617676,0
mouse,3.0,0.6,237.27272727272725,109.36466069440144,765.5526248608081,-20.4776542021,729.4209820092595,0.8002989292144775,0
mouse,3.0,0.6,40.90909090909091,109.36466069440166,765.5526248608082,13.0603795954,761.5864837795573,0.5840671062469482,0
mouse,3.0,0.6,204.54545454545453,109.36466069440121,765.5526248608081,4.91956408685,788.082841557661,0.7197568416595459,0
mouse,3.0,0.6,171.81818181818178,109.36466069440121,765.5526248608082,-8.53445343496,748.1288816279836,0.6091601848602295,0
mouse,3.0,0.6,335.45454545454544,109.36466069440166,765.5526248608082,-19.727069532,734.8659604816006,0.8672258853912354,0
