tech,id,rho,angle,w,a,we,ae,mt,error
mouse,4.0,0.3,171.81818181818178,51.03684165738741,765.5526248608082,-0.04024012079,769.0574467457565,0.9091589450836182,0
mouse,4.0,0.3,335.45454545454544,51.03684165738741,765.5526248608082,3.21414462303,768.7441637471638,0.8819620609283447,0
mouse,4.0,0.3,139.0909090909091,51.036841657387185,765.5526248608082,3.42641206502,768.8394795444469,0.7008061408996582,0
mouse,4.0,0.3,302.7272727272727,51.03684165738741,765.5526248608082,3.03072221051,770.9383971311584,0.95094895362854,0
mouse,4.0,0.3,106.36363636363633,51.036841657387185,765.5526248608081,-2.21651061826,763.9951446834242,0.6978049278259277,0
mouse,4.0,0.3,270.0,51.036841657387185,765.5526248608082,-3.7763124304,763.0,0.833158016204834,0
mouse,4.0,0.3,73.63636363636364,51.03684165738696,765.5526248608081,5.00732549835,769.18062600966,0.7050549983978271,0
mouse,4.0,0.3,237.27272727272725,51.03684165738741,765.5526248608081,-3.41255544338,767.5151087376405,0.8837499618530273,0
mouse,4.0,0.3,40.90909090909091,51.03684165738741,765.5526248608082,-0.493585051524,761.9863722263411,0.9009130001068115,0
mouse,4.0,0.3,204.54545454545453,51.03684165738741,765.5526248608081,1.38124324104,765.6212579143465,0.9692239761352539,0
mouse,5.0,0.2,171.81818181818178,24.69524596325209,765.5526248608082,-3.7212786378,767.2073538482039,1.2367417812347412,0
mouse,5.0,0.2,335.45454545454544,24.695245963251637,765.5526248608082,-0.818393205144,759.905654867919,1.2023282051086426,0
mouse,5.0,0.2,139.0909090909091,24.695245963251864,765.5526248608082,-1.0071965407,764.1527321089949,0.8164768218994141,0
mouse,5.0,0.2,302.7272727272727,24.69524596325209,765.5526248608082,-0.392566183013,763.9706511175311,1.2179090976715088,0
mouse,5.0,0.2,106.36363636363633,24.695245963251637,765.5526248608081,2.85467540489,768.8457515021578,1.0342919826507568,0
mouse,5.0,0.2,270.0,24.695245963251864,765.5526248608082,5.2236875696,772.0,1.0722579956054688,0
mouse,5.0,0.2,73.63636363636364,24.69524596325209,765.5526248608081,-5.20421130214,765.0689329601289,0.9297690391540527,0
mouse,5.0,0.2,237.27272727272725,24.695245963251864,765.5526248608081,-2.0306610931,757.3012074681774,1.3012809753417969,0
mouse,5.0,0.2,40.90909090909091,24.695245963251637,765.5526248608082,4.0409123946,767.9314799807661,1.1221070289611816,0
mouse,5.0,0.2,204.54545454545453,24.695245963251864,765.5526248608081,-1.50525668373,768.1925499617087,0.9800479412078857,0
mouse,4.0,0.3,171.81818181818178,51.03684165738741,765.5526248608082,0.238007129725,770.3127505860879,0.8068630695343018,0
mouse,4.0,0.3,335.45454545454544,51.03684165738741,765.5526248608082,-8.01664719863,756.3459288558518,1.0700819492340088,0
mouse,4.0,0.3,139.0909090909091,51.036841657387185,765.5526248608082,-22.6707953672,735.8891647940865,0.7484920024871826,0
mouse,4.0,0.3,302.7272727272727,51.03684165738741,765.5526248608082,0.807574327387,745.9454399505075,1.4368529319763184,1
mouse,4.0,0.3,106.36363636363633,51.036841657387185,765.5526248608081,-2.16336866759,761.8475681300148,0.7653970718383789,0
mouse,4.0,0.3,270.0,51.036841657387185,765.5526248608082,-4.7763124304,760.0,1.1175298690795898,0
mouse,4.0,0.3,73.63636363636364,51.03684165738696,765.5526248608081,-13.786506114,744.9195805142244,0.903447151184082,0
mouse,4.0,0.3,237.27272727272725,51.03684165738741,765.5526248608081,1.51379652701,755.3763619493327,0.6834180355072021,0
mouse,4.0,0.3,40.90909090909091,51.03684165738741,765.5526248608082,9.78424246821,778.1084186600899,0.9158918857574463,0
mouse,4.0,0.3,204.54545454545453,51.03684165738741,765.5526248608081,10.8141762382,786.3063878994483,0.8171279430389404,0
mouse,4.0,0.3,171.81818181818178,51.03684165738741,765.5526248608082,-12.2091095259,747.1262953340384,0.7590677738189697,0
mouse,4.0,0.3,335.45454545454544,51.03684165738741,765.5526248608082,10.3550018134,762.14033387163,0.8509030342102051,0
mouse,4.0,0.3,139.0909090909091,51.036841657387185,765.5526248608082,-9.4708583905,766.5208696724666,0.7675290107727051,0
mouse,4.0,0.3,302.7272727272727,51.03684165738741,765.5526248608082,6.57749018172,762.64934138054,0.9173481464385986,0
mouse,4.0,0.3,106.36363636363633,51.036841657387185,765.5526248608081,2.68723815114,775.9582301773909,0.9661788940429688,0
mouse,4.0,0.3,270.0,51.036841657387185,765.5526248608082,-0.776312430404,767.0,0.7999310493469238,0
mouse,4.0,0.3,73.63636363636364,51.03684165738696,765.5526248608081,6.13425572572,770.6504421462964,0.6678309440612793,0
mouse,4.0,0.3,237.27272727272725,51.03684165738741,765.5526248608081,-8.63952012915,764.4507073216913,0.919219970703125,0
mouse,4.0,0.3,40.90909090909091,51.03684165738741,765.5526248608082,-8.4546361567,748.2819910475555,1.1013851165771484,0
mouse,4.0,0.3,204.54545454545453,51.03684165738741,765.5526248608081,-3.81873765679,749.3480891335641,0.867063045501709,0
mouse,4.0,0.3,171.81818181818178,51.03684165738741,765.5526248608082,3.49210113191,760.2786037550372,0.823530912399292,0
mouse,4.0,0.3,335.45454545454544,51.03684165738741,765.5526248608082,-0.975997143845,766.9463049227029,0.8676469326019287,0
mouse,4.0,0.3,139.0909090909091,51.036841657387185,765.5526248608082,-13.4513839431,752.8164884936809,0.8178279399871826,0
mouse,4.0,0.3,302.7272727272727,51.03684165738741,765.5526248608082,5.25387009362,759.2237426359197,0.8358981609344482,0
mouse,4.0,0.3,106.36363636363633,51.036841657387185,765.5526248608081,-0.922143137139,767.4902306686116,0.9157819747924805,0
mouse,4.0,0.3,270.0,51.036841657387185,765.5526248608082,5.2236875696,771.0,0.8507828712463379,0
mouse,4.0,0.3,73.63636363636364,51.03684165738696,765.5526248608081,4.38270703224,773.8106536239814,0.8368561267852783,0
mouse,4.0,0.3,237.27272727272725,51.03684165738741,765.5526248608081,13.5896483509,786.3186784730975,1.1315560340881348,0
mouse,4.0,0.3,40.90909090909091,51.03684165738741,765.5526248608082,-4.57499944452,777.5030856176361,0.8179869651794434,0
mouse,4.0,0.3,204.54545454545453,51.03684165738741,765.5526248608081,1.06603536363,759.2752391131131,0.900122880935669,0
mouse,4.0,0.3,171.81818181818178,51.03684165738741,765.5526248608082,-13.0566161295,740.0488479765667,0.8571019172668457,0
mouse,4.0,0.3,335.45454545454544,51.03684165738741,765.5526248608082,0.248842728912,751.5399578047786,0.7508251667022705,0
mouse,4.0,0.3,139.0909090909091,51.036841657387185,765.5526248608082,2.06532944821,766.8730638851849,1.0033419132232666,0
mouse,4.0,0.3,302.7272727272727,51.03684165738741,765.5526248608082,-4.83886194925,764.3318484462023,0.8986179828643799,0
mouse,4.0,0.3,106.36363636363633,51.036841657387185,765.5526248608081,-7.07512883876,754.5145102503694,1.0036499500274658,0
mouse,4.0,0.3,270.0,51.036841657387185,765.5526248608082,5.2236875696,764.0,1.0147979259490967,0
mouse,4.0,0.3,73.63636363636364,51.03684165738696,765.5526248608081,-0.361615885172,770.7567260476186,0.9346780776977539,0
mouse,4.0,0.3,237.27272727272725,51.03684165738741,765.5526248608081,1.21318381164,771.8379249261828,0.8502280712127686,0
mouse,4.0,0.3,40.90909090909091,51.03684165738741,765.5526248608082,-1.50063999819,766.9244250341026,0.934628963470459,0
mouse,4.0,0.3,204.54545454545453,51.03684165738741,765.5526248608081,2.21207326704,767.1039088614044,0.952707052230835,0
mouse,6.0,0.1,171.81818181818178,12.151628966044427,765.5526248608082,-1.59932091576,764.0955746842877,2.826495885848999,2
mouse,6.0,0.1,335.45454545454544,12.151628966044427,765.5526248608082,1.41628579857,764.3750128753409,1.4470491409301758,0
mouse,6.0,0.1,139.0909090909091,12.151628966044882,765.5526248608082,-1.0071965407,766.3190919916486,1.973496913909912,0
mouse,6.0,0.1,302.7272727272727,12.151628966044882,765.5526248608082,2.07060980219,766.4338271027291,1.3975811004638672,0
mouse,6.0,0.1,106.36363636363633,12.151628966044427,765.5526248608081,1.72774517752,769.5235119189308,1.2833127975463867,0
mouse,6.0,0.1,270.0,12.151628966044427,765.5526248608082,4.2236875696,771.0,1.301699161529541,0
mouse,6.0,0.1,73.63636363636364,12.151628966044882,765.5526248608081,1.00191635014,770.5973001956354,1.4344909191131592,0
mouse,6.0,0.1,237.27272727272725,12.151628966044882,765.5526248608081,2.47621928644,768.7175595991428,1.2890551090240479,0
mouse,6.0,0.1,40.90909090909091,12.151628966044427,765.5526248608082,-0.744890423833,766.3190919916486,1.8642678260803223,0
mouse,6.0,0.1,204.54545454545453,12.151628966044427,765.5526248608081,3.9525352884,769.7540028781173,1.4522972106933594,0
mouse,4.0,0.3,171.81818181818178,51.03684165738741,765.5526248608082,-10.9410408335,754.8961696047807,0.7568151950836182,0
mouse,4.0,0.3,335.45454545454544,51.03684165738741,765.5526248608082,1.51649293417,753.0440139180847,0.9364209175109863,0
mouse,4.0,0.3,139.0909090909091,51.036841657387185,765.5526248608082,-3.12402873186,767.0730081085768,0.867717981338501,0
mouse,4.0,0.3,302.7272727272727,51.03684165738741,765.5526248608082,0.567546225307,765.6531581831935,1.0321409702301025,0
mouse,4.0,0.3,106.36363636363633,51.036841657387185,765.5526248608081,-4.53953582718,759.8674288303566,0.8508920669555664,0
mouse,4.0,0.3,270.0,51.036841657387185,765.5526248608082,7.2236875696,766.0,0.800286054611206,0
mouse,4.0,0.3,73.63636363636364,51.03684165738696,765.5526248608081,-2.15829512754,772.5694280935254,0.8038439750671387,0
mouse,4.0,0.3,237.27272727272725,51.03684165738741,765.5526248608081,2.77683200181,765.9537708985691,1.0980348587036133,0
mouse,4.0,0.3,40.90909090909091,51.03684165738741,765.5526248608082,-5.42980440186,761.5332891732137,0.9701731204986572,0
mouse,4.0,0.3,204.54545454545453,51.03684165738741,765.5526248608081,1.06603536363,763.4653808799865,0.8484230041503906,0
mouse,6.0,0.1,171.81818181818178,12.151628966044427,765.5526248608082,0.238007129725,768.0548604518114,1.420341968536377,0
mouse,6.0,0.1,335.45454545454544,12.151628966044427,765.5526248608082,3.31435175863,767.6769278131078,1.1683361530303955,0
mouse,6.0,0.1,139.0909090909091,12.151628966044882,765.5526248608082,-5.99477703995,762.289038747568,1.4855129718780518,0
mouse,6.0,0.1,302.7272727272727,12.151628966044882,765.5526248608082,2.01002518889,761.6869186211176,1.2335209846496582,0
mouse,6.0,0.1,106.36363636363633,12.151628966044427,765.5526248608081,1.04998476075,767.771963225453,1.4193389415740967,0
mouse,6.0,0.1,270.0,12.151628966044427,765.5526248608082,-1.7763124304,764.0,1.4066181182861328,0
mouse,6.0,0.1,73.63636363636364,12.151628966044882,765.5526248608081,0.209860630279,762.639623849878,1.299785852432251,0
mouse,6.0,0.1,237.27272727272725,12.151628966044882,765.5526248608081,-0.648766742809,766.0726297740581,1.2631711959838867,0
mouse,6.0,0.1,40.90909090909091,12.151628966044427,765.5526248608082,0.36305336324,765.6642312577032,1.5847699642181396,0
mouse,6.0,0.1,204.54545454545453,12.151628966044427,765.5526248608081,-1.84186972738,763.8019939236376,1.2347300052642822,0
mouse,6.0,0.1,171.81818181818178,12.151628966044427,765.5526248608082,2.50227969003,772.1564610576085,1.4745430946350098,0
mouse,6.0,0.1,335.45454545454544,12.151628966044427,765.5526248608082,-0.481780161493,766.530889909701,1.4977388381958008,0
mouse,6.0,0.1,139.0909090909091,12.151628966044882,765.5526248608082,-2.51869568941,763.850065587768,1.5523431301116943,0
mouse,6.0,0.1,302.7272727272727,12.151628966044882,765.5526248608082,1.76999708681,765.0519327524426,1.4839038848876953,0
mouse,6.0,0.1,106.36363636363633,12.151628966044427,765.5526248608081,-0.0769454666144,767.0410608580189,1.0512630939483643,0
mouse,6.0,0.1,270.0,12.151628966044427,765.5526248608082,-0.776312430404,765.0,1.601377010345459,0
mouse,6.0,0.1,73.63636363636364,12.151628966044882,765.5526248608081,-0.917069597087,763.5991168234924,1.318004846572876,0
mouse,6.0,0.1,237.27272727272725,12.151628966044882,765.5526248608081,-0.287569414137,764.2712638329068,1.2345521450042725,0
mouse,6.0,0.1,40.90909090909091,12.151628966044427,765.5526248608082,2.07633019277,766.3190919916486,1.2555110454559326,0
mouse,6.0,0.1,204.54545454545453,12.151628966044427,765.5526248608081,-0.595624688376,767.8559369180575,1.2304108142852783,0
mouse,6.0,0.1,171.81818181818178,12.151628966044427,765.5526248608082,-3.29433412298,763.8173274337732,1.2204360961914062,0
mouse,6.0,0.1,335.45454545454544,12.151628966044427,765.5526248608082,0.922068816214,762.892361928283,1.3347389698028564,0
mouse,6.0,0.1,139.0909090909091,12.151628966044882,765.5526248608082,-5.33991630601,761.885483385932,1.184295892715454,0
mouse,6.0,0.1,302.7272727272727,12.151628966044882,765.5526248608082,4.53378578738,765.0519327524426,1.2894001007080078,0
mouse,6.0,0.1,106.36363636363633,12.151628966044427,765.5526248608081,2.00947773437,771.609935119911,1.0142908096313477,0
mouse,6.0,0.1,270.0,12.151628966044427,765.5526248608082,0.223687569596,767.0,1.2677371501922607,0
mouse,6.0,0.1,73.63636363636364,12.151628966044882,765.5526248608081,-1.36623940768,764.1094399865144,1.3000409603118896,0
mouse,6.0,0.1,237.27272727272725,12.151628966044882,765.5526248608081,3.25688820597,765.9537708985691,1.751899003982544,1
mouse,6.0,0.1,40.90909090909091,12.151628966044427,765.5526248608082,-5.83335976349,762.8430106411043,1.301569938659668,0
mouse,6.0,0.1,204.54545454545453,12.151628966044427,765.5526248608081,2.54868631069,762.9711638976338,1.234511137008667,0
mouse,5.0,0.2,171.81818181818178,24.69524596325209,765.5526248608082,-11.212905658,757.4514542676677,1.0354650020599365,0
mouse,5.0,0.2,335.45454545454544,24.695245963251637,765.5526248608082,-2.48005325715,752.213183892081,1.1016719341278076,0
mouse,5.0,0.2,139.0909090909091,24.695245963251864,765.5526248608082,1.663607544,764.2040932579124,0.9243369102478027,0
mouse,5.0,0.2,302.7272727272727,24.69524596325209,765.5526248608082,8.13882802079,772.9215169121965,1.2277719974517822,0
mouse,5.0,0.2,106.36363636363633,24.695245963251637,765.5526248608081,2.96897070798,776.0113721280518,1.1175570487976074,0
mouse,5.0,0.2,270.0,24.695245963251864,765.5526248608082,1.2236875696,769.0,1.1557519435882568,0
mouse,5.0,0.2,73.63636363636364,24.69524596325209,765.5526248608081,4.04783252474,771.3282025630695,0.9974009990692139,0
mouse,5.0,0.2,237.27272727272725,24.695245963251864,765.5526248608081,0.914881447365,771.0012920955563,1.173279047012329,0
mouse,5.0,0.2,40.90909090909091,24.695245963251637,765.5526248608082,0.564831044058,764.4040374813042,0.9946670532226562,0
mouse,5.0,0.2,204.54545454545453,24.695245963251864,765.5526248608081,2.62748828004,769.2597858957647,0.8885438442230225,0
mouse,6.0,0.1,171.81818181818178,12.151628966044427,765.5526248608082,0.380321967998,770.4614478503931,2.3219988346099854,1
mouse,6.0,0.1,335.45454545454544,12.151628966044427,765.5526248608082,2.24711582457,767.0251068920537,1.9011871814727783,1
mouse,6.0,0.1,139.0909090909091,12.151628966044882,765.5526248608082,-0.704530019472,767.9314799807661,1.452345848083496,0
mouse,6.0,0.1,302.7272727272727,12.151628966044882,765.5526248608082,1.52996898473,764.9913481391469,1.6339750289916992,0
mouse,6.0,0.1,106.36363636363633,12.151628966044427,765.5526248608081,-0.0769454666144,767.4370887179506,1.2747859954833984,0
mouse,6.0,0.1,270.0,12.151628966044427,765.5526248608082,2.2236875696,768.0,1.1110479831695557,0
mouse,6.0,0.1,73.63636363636364,12.151628966044882,765.5526248608081,-0.917069597087,766.7593283011774,1.2523140907287598,0
mouse,6.0,0.1,237.27272727272725,12.151628966044882,765.5526248608081,-0.888794844889,763.6700384021557,1.4346299171447754,0
mouse,6.0,0.1,40.90909090909091,12.151628966044427,765.5526248608082,-0.190918530297,764.2536209494037,1.2718009948730469,0
mouse,6.0,0.1,204.54545454545453,12.151628966044427,765.5526248608081,-0.101407706023,765.6212579143465,1.2306900024414062,0
mouse,5.0,0.2,171.81818181818178,24.69524596325209,765.5526248608082,0.664951644544,755.8923734726937,1.1575279235839844,0
mouse,5.0,0.2,335.45454545454544,24.695245963251637,765.5526248608082,-5.13014727386,760.4786738196224,0.9969439506530762,0
mouse,5.0,0.2,139.0909090909091,24.695245963251864,765.5526248608082,-6.39833240159,753.3209326957258,0.9673070907592773,0
mouse,5.0,0.2,302.7272727272727,24.69524596325209,765.5526248608082,-3.15635488359,757.7229894101441,1.268157958984375,1
mouse,5.0,0.2,106.36363636363633,24.695245963251637,765.5526248608081,-3.00856633812,760.5000586982368,0.8176109790802002,0
mouse,5.0,0.2,270.0,24.695245963251864,765.5526248608082,5.2236875696,770.0,1.0553579330444336,0
mouse,5.0,0.2,73.63636363636364,24.69524596325209,765.5526248608081,-0.239309180314,769.1886374114282,1.5146410465240479,0
mouse,5.0,0.2,237.27272727272725,24.695245963251864,765.5526248608081,-0.888794844889,763.9706511175312,1.3171780109405518,0
mouse,5.0,0.2,40.90909090909091,24.695245963251637,765.5526248608082,2.73119092671,767.175730406412,1.2856919765472412,0
mouse,5.0,0.2,204.54545454545453,24.695245963251864,765.5526248608081,-1.01103970138,767.8559369180575,1.1166660785675049,0
mouse,6.0,0.1,171.81818181818178,12.151628966044427,765.5526248608082,-2.3045126811,761.4107400351915,1.374993085861206,0
